Time,user 1,user 2,user 3,user 4,user 5,user 6,user 7,user 8,user 9,PV
1,0.381,0.347,1.116,0.172,0.022,0.067,0.266,0.091,0.487,0
2,0.398,0.175,0.438,0.157,0.211,0.07,0.174,0.089,0.864,0
3,0.215,0.097,0.433,0.144,0.223,0.062,0.282,0.054,0.161,0
4,0.195,0.068,0.151,0.144,0.189,0.068,0.236,0.172,0.103,0
5,0.176,0.077,0.144,0.195,0.063,0.065,0.281,0.135,0.101,0
6,0.217,0.081,0.14,0.158,0.056,0.061,0.255,0.097,0.1,0
7,0.193,0.136,0.079,0.118,0.041,0.069,0.265,0.059,0.09,0.005
8,0.165,0.2,0.108,0.144,0.051,0.062,0.248,0.05,0.091,0.299
9,0.155,0.086,0.267,0.106,0.026,0.06,0.232,0.049,0.103,0.534
10,0.184,0.125,0.334,0.117,0.054,0.068,0.249,0.076,0.094,0.675
11,0.209,0.125,0.255,0.12,0.028,0.061,0.237,0.114,0.615,0.736
12,0.275,0.296,1.576,1.04,0.042,0.059,0.359,0.201,0.105,0.734
13,0.23,0.68,1.728,0.949,0.108,0.069,0.245,0.112,0.822,0.666
14,0.442,0.294,0.62,1.229,0.049,0.065,0.237,0.125,0.409,0.514
15,0.176,0.323,0.154,0.209,0.023,0.06,0.244,0.456,0.216,0.255
16,0.059,0.511,0.094,0.133,0.032,0.066,0.225,0.691,0.137,0.024
17,0.065,0.487,0.111,0.144,0.037,0.064,0.258,0.667,0.112,0
18,0.077,0.587,0.206,0.187,0.023,0.06,0.242,0.365,0.106,0
19,0.045,0.082,0.243,0.187,0.03,0.065,0.362,0.468,0.125,0
20,0.094,0.079,0.279,0.152,0.031,0.084,0.479,0.299,0.138,0
21,0.045,0.21,0.228,0.166,0.024,0.182,0.45,0.721,0.714,0
22,0.084,0.465,0.176,0.159,0.026,0.177,0.446,0.272,0.349,0
23,0.054,0.273,0.448,0.182,0.204,0.184,0.516,0.856,0.3,0
24,0.064,0.816,0.45,0.154,0.179,0.174,0.45,0.417,0.12,0
25,0.076,0.216,0.211,0.152,0.111,0.249,0.553,0.326,0.11,0
26,0.045,0.086,0.069,0.179,0.06,0.238,0.407,0.133,0.097,0
27,0.094,0.081,0.045,0.149,0.048,0.222,0.41,0.078,0.151,0
28,0.046,0.062,0.043,0.134,0.027,0.218,0.32,0.105,0.093,0
29,0.093,0.083,0.042,0.126,0.054,0.247,0.403,0.066,0.091,0
30,0.045,0.085,0.041,0.123,0.048,0.392,0.244,0.049,0.103,0
31,0.067,0.067,0.099,0.119,0.028,0.297,0.306,0.05,0.144,0
32,0.07,1.353,0.124,0.117,0.057,0.307,0.201,0.09,0.541,0.022
33,0.045,1.21,1.044,0.122,0.051,0.326,0.298,0.097,0.231,0.190
34,0.091,0.349,0.637,0.114,0.039,0.324,0.236,0.088,0.116,0.473
35,0.045,0.422,0.587,0.102,0.039,0.364,0.567,1.184,0.147,0.587
36,0.089,0.4,0.203,0.363,0.048,0.191,0.253,1.028,0.094,0.534
37,0.048,0.648,0.118,0.176,0.043,0.698,0.36,0.881,0.104,0.515
38,0.063,0.332,1.575,0.272,0.046,0.185,0.399,0.86,0.147,0.431
