Riga,mese,giorno,ora,media profilo std
1,1,1,1,0.328
2,1,1,2,0.286
3,1,1,3,0.186
4,1,1,4,0.147
5,1,1,5,0.137
6,1,1,6,0.129
7,1,1,7,0.117
8,1,1,8,0.124
9,1,1,9,0.120
10,1,1,10,0.145
11,1,1,11,0.196
12,1,1,12,0.439
13,1,1,13,0.549
14,1,1,14,0.386
15,1,1,15,0.207
16,1,1,16,0.216
17,1,1,17,0.216
18,1,1,18,0.206
19,1,1,19,0.179
20,1,1,20,0.182
21,1,1,21,0.304
22,1,1,22,0.239
23,1,1,23,0.335
24,1,1,24,0.314
25,1,2,1,0.223
26,1,2,2,0.146
27,1,2,3,0.142
28,1,2,4,0.116
29,1,2,5,0.134
30,1,2,6,0.126
31,1,2,7,0.131
32,1,2,8,0.318
33,1,2,9,0.380
34,1,2,10,0.222
35,1,2,11,0.384
36,1,2,12,0.297
37,1,2,13,0.342
38,1,2,14,0.431
39,1,2,15,0.305
40,1,2,16,0.413
41,1,2,17,0.295
42,1,2,18,0.438
43,1,2,19,0.398
44,1,2,20,0.255
45,1,2,21,0.474
46,1,2,22,0.303
47,1,2,23,0.266
48,1,2,24,0.277
49,1,3,1,0.199
50,1,3,2,0.206
51,1,3,3,0.143
52,1,3,4,0.107
53,1,3,5,0.122
54,1,3,6,0.110
55,1,3,7,0.159
56,1,3,8,0.256
57,1,3,9,0.261
58,1,3,10,0.402
59,1,3,11,0.458
60,1,3,12,0.428
61,1,3,13,0.255
62,1,3,14,0.232
63,1,3,15,0.296
64,1,3,16,0.316
65,1,3,17,0.225
66,1,3,18,0.295
67,1,3,19,0.311
68,1,3,20,0.428
69,1,3,21,0.560
70,1,3,22,0.354
71,1,3,23,0.445
72,1,3,24,0.463
73,1,4,1,0.361
74,1,4,2,0.162
75,1,4,3,0.131
76,1,4,4,0.138
77,1,4,5,0.111
78,1,4,6,0.103
79,1,4,7,0.102
80,1,4,8,0.162
81,1,4,9,0.238
82,1,4,10,0.203
83,1,4,11,0.224
84,1,4,12,0.325
85,1,4,13,0.315
86,1,4,14,0.567
87,1,4,15,0.453
88,1,4,16,0.448
89,1,4,17,0.300
90,1,4,18,0.453
91,1,4,19,0.289
92,1,4,20,0.282
93,1,4,21,0.382
94,1,4,22,0.286
95,1,4,23,0.434
96,1,4,24,0.412
97,1,5,1,0.181
98,1,5,2,0.138
99,1,5,3,0.105
100,1,5,4,0.108
101,1,5,5,0.109
102,1,5,6,0.085
103,1,5,7,0.113
104,1,5,8,0.266
105,1,5,9,0.182
106,1,5,10,0.229
107,1,5,11,0.205
108,1,5,12,0.363
109,1,5,13,0.339
110,1,5,14,0.288
111,1,5,15,0.439
112,1,5,16,0.574
113,1,5,17,0.434
114,1,5,18,0.354
115,1,5,19,0.197
116,1,5,20,0.297
117,1,5,21,0.600
118,1,5,22,0.318
119,1,5,23,0.359
120,1,5,24,0.301
121,1,6,1,0.203
122,1,6,2,0.139
123,1,6,3,0.091
124,1,6,4,0.088
125,1,6,5,0.088
126,1,6,6,0.094
127,1,6,7,0.100
128,1,6,8,0.152
129,1,6,9,0.144
130,1,6,10,0.245
131,1,6,11,0.273
132,1,6,12,0.214
133,1,6,13,0.437
134,1,6,14,0.381
135,1,6,15,0.190
136,1,6,16,0.328
137,1,6,17,0.229
138,1,6,18,0.315
139,1,6,19,0.278
140,1,6,20,0.304
141,1,6,21,0.703
142,1,6,22,0.336
143,1,6,23,0.287
144,1,6,24,0.250
145,1,7,1,0.231
146,1,7,2,0.192
147,1,7,3,0.141
148,1,7,4,0.120
149,1,7,5,0.117
150,1,7,6,0.115
151,1,7,7,0.135
152,1,7,8,0.289
153,1,7,9,0.311
154,1,7,10,0.307
155,1,7,11,0.373
