Time; USER 1;USER 2;USER 3;USER 4;USER 5;USER 6;USER 7;USER 8;USER 9;USER 10;USER 11
00:00;7,677;0,092;0,077;0,419;0,069;0,006;0,003;0,01;0,069;0,014;0,241
00:15;8,185;0,094;0,093;0,402;0,024;0,004;0,002;0,026;0,052;0,025;0,102
00:30;6,658;0,1;0,103;0,153;0,018;0,004;0,002;0,011;0,064;0,026;0,068
00:45;7,508;0,095;0,074;0,142;0,061;0,008;0,003;0,02;0,081;0,026;0,076
01:00;7,508;0,097;0,044;0,109;0,037;0,027;0,002;0,017;0,042;0,026;0,593
01:15;6,717;0,09;0,023;0,111;0,018;0,069;0,003;0,017;0,041;0,026;0,13
01:30;7,846;0,127;0,062;0,109;0,044;0,062;0,002;0,012;0,062;0,023;0,058
01:45;7;0,084;0,046;0,109;0,058;0,053;0,003;0,024;0,029;0,014;0,083
02:00;6,55;0,056;0,015;0,116;0,024;0,043;0,002;0,009;0,033;0,013;0,053
02:15;8,07;0,054;0,014;0,096;0,038;0,059;0,003;0,021;0,067;0,014;0,035
02:30;6,83;0,052;0,035;0,185;0,046;0,062;0,002;0,016;0,094;0,014;0,054
02:45;6,774;0,053;0,033;0,036;0,036;0,059;0,003;0,016;0,088;0,013;0,019
03:00;6,886;0,067;0,014;0,039;0,022;0,056;0,002;0,015;0,082;0,014;0,013
03:15;7,056;0,043;0,012;0,038;0,041;0,057;0,003;0,021;0,083;0,072;0,039
03:30;6,325;0,045;0,018;0,036;0,053;0,059;0,002;0,009;0,035;0,044;0,036
03:45;6,886;0,04;0,024;0,038;0,028;0,017;0,003;0,023;0,036;0,042;0,015
04:00;6,944;0,039;0,023;0,036;0,037;0,014;0,002;0,013;0,069;0,042;0,024
04:15;9,652;0,039;0,016;0,035;0,053;0,009;0,003;0,016;0,074;0,042;0,042
04:30;8,352;0,044;0,016;0,035;0,067;0,015;0,003;0,017;0,071;0,027;0,016
04:45;7,905;0,054;0,022;0,038;0,038;0,025;0,002;0,019;0,067;0,024;0,019
05:00;9,201;0,055;0,011;0,034;0,05;0,014;0,003;0,009;0,082;0,025;0,03
05:15;7,395;0,054;0,02;0,035;0,052;0,012;0,002;0,023;0,045;0,024;0,029
05:30;7,733;0,054;0,027;0,036;0,033;0,008;0,003;0,013;0,049;0,025;0,016
05:45;6,774;0,054;0,023;0,035;0,023;0,022;0,003;0,016;0,079;0,023;0,025
06:00;7,508;0,053;0,01;0,034;0,026;0,008;0,002;0,017;0,062;0,013;0,026
06:15;7,451;0,053;0,01;0,018;0,044;0,01;0,003;0,018;0,054;0,012;0,024
06:30;8,072;0,045;0,026;0,014;0,022;0,012;0,002;0,009;0,073;0,018;0,028
06:45;11,515;0,042;0,09;0,013;0,026;0,011;0,003;0,025;0,076;0,016;0,012
07:00;7,846;0,042;0,061;0,012;0,032;0,006;0,002;0,01;0,06;0,013;0,031
07:15;8,411;0,044;0,053;0,015;0,052;0,025;0,003;0,016;0,042;0,012;0,034
07:30;7,508;0,04;0,045;0,035;0,025;0,009;0,002;0,019;0,09;0,013;0,012
07:45;7,564;0,039;0,041;0,046;0,035;0,011;0,003;0,017;0,056;0,012;0,014
08:00;7,281;0,039;0,018;0,042;0,041;0,01;0,002;0,009;0,041;0,012;0,046
08:15;7,395;0,038;0,025;0,06;0,031;0,006;0,003;0,025;0,063;0,013;0,018
08:30;6,717;0,039;0,018;0,079;0,011;0,005;0,003;0,01;0,073;0,012;0,014
08:45;6,944;0,039;0,025;0,086;0,023;0,005;0,002;0,016;0,055;0,012;0,025
09:00;7,056;0,038;0,012;0,074;0,054;0,022;0,003;0,019;0,064;0,013;0,033
09:15;7,056;0,039;0,027;0,071;0,023;0,015;0,002;0,016;0,089;0,014;0,02
09:30;6,66;0,041;0,032;0,073;0,01;0,01;0,003;0,01;0,054;0,025;0,021
09:45;7;0,066;0,054;0,116;0,03;0,007;0,002;0,023;0,042;0,024;0,02
10:00;7;0,058;0,038;0,076;0,055;0,005;0,003;0,011;0,062;0,025;0,04
10:15;7,056;0,053;0,01;0,053;0,015;0,004;0,002;0,015;0,052;0,024;0,073
10:30;6,491;0,047;0,044;0,057;0,011;0,009;0,003;0,019;0,055;0,025;0,328
10:45;7,112;0,051;0,033;0,069;0,039;0,01;0,002;0,016;0,068;0,04;0,174
11:00;6,831;0,058;0,152;0,187;0,103;0,019;0,003;0,01;0,138;0,039;0,029
11:15;6,773;0,078;0,059;0,458;0,323;0,013;0,003;0,023;0,108;0,04;0,037
11:30;7;0,068;0,041;0,556;0,321;0,005;0,002;0,012;0,043;0,088;0,012
11:45;6,774;0,071;0,044;0,375;0,293;0,005;0,003;0,014;0,07;0,034;0,027
12:00;6,773;0,084;0,046;0,346;0,102;0,016;0,002;0,021;0,042;0,029;0,203
12:15;10,782;0,071;0,183;0,652;0,048;0,051;0,003;0,017;0,036;0,028;0,186
12:30;7,225;0,043;0,127;0,371;0,342;0,032;0,002;0,01;0,077;0,028;0,209
12:45;7,564;0,032;0,324;0,359;0,457;0,009;0,003;0,021;0,09;0,027;0,224
13:00;11,234;0,017;0,065;0,357;0,526;0,005;0,002;0,015;0,071;0,028;0,056
13:15;7,281;0,111;0,031;0,185;0,345;0,012;0,003;0,014;0,051;0,028;0,075
13:30;8,129;0,266;0,054;0,039;0,298;0,022;0,003;0,017;0,069;0,034;0,147
13:45;8,411;0,048;0,144;0,039;0,06;0,01;0,002;0,019;0,046;0,035;0,131
14:00;7,225;0,03;0,173;0,038;0,027;0,009;0,003;0,01;0,042;0,053;0,109
14:15;7,733;0,055;0,041;0,039;0,048;0,004;0,002;0,021;0,07;0,271;0,052
14:30;9,653;0,056;0,047;0,039;0,079;0,005;0,003;0,015;0,067;0,067;0,021
14:45;9,483;0,035;0,062;0,038;0,055;0,005;0,002;0,014;0,065;0,065;0,034
15:00;8,129;0,014;0,068;0,037;0,025;0,01;0,003;0,017;0,066;0,089;0,05
15:15;8,015;0,014;0,173;0,025;0,02;0,01;0,003;0,018;0,079;0,107;0,025
15:30;6,943;0,016;0,198;0,016;0,064;0,008;0,002;0,01;0,045;0,162;0,018
15:45;7,957;0,015;0,072;0,016;0,024;0,004;0,003;0,021;0,035;0,333;0,044
